"Velocity:0","Velocity:1","Velocity:2","Velocity Magnitude","Pressure","Points:0","Points:1","Points:2"
1.041,0.02324,0,1.041,0.06983,6.955,2.58,0
1.042,0.02355,0,1.042,0.06981,6.968,2.58,0
1.043,0.02422,0,1.044,0.06974,6.996,2.58,0
1.046,0.02513,0,1.046,0.06959,7.035,2.58,0
1.048,0.02614,0,1.049,0.06935,7.078,2.58,0
1.051,0.02705,0,1.051,0.06906,7.117,2.58,0
1.053,0.02771,0,1.053,0.06881,7.146,2.58,0
1.054,0.02801,0,1.054,0.06868,7.159,2.58,0
1.011,0.02239,0,1.012,0.06951,6.955,2.594,0
1.012,0.02269,0,1.012,0.06949,6.968,2.594,0
1.014,0.02333,0,1.014,0.06942,6.996,2.594,0
1.016,0.0242,0,1.017,0.06927,7.035,2.594,0
1.019,0.02516,0,1.019,0.06903,7.078,2.594,0
1.022,0.02602,0,1.022,0.06874,7.117,2.594,0
1.024,0.02666,0,1.024,0.06849,7.146,2.594,0
1.025,0.02694,0,1.025,0.06836,7.159,2.594,0
0.9977,0.022,0,0.998,0.06937,6.955,2.6,0
0.9985,0.02229,0,0.9988,0.06935,6.968,2.6,0
1,0.02291,0,1.001,0.06928,6.996,2.6,0
1.003,0.02377,0,1.003,0.06913,7.035,2.6,0
1.006,0.0247,0,1.006,0.06889,7.078,2.6,0
1.008,0.02555,0,1.009,0.06861,7.117,2.6,0
1.01,0.02617,0,1.011,0.06836,7.146,2.6,0
1.011,0.02645,0,1.012,0.06823,7.159,2.6,0
1.212,0.03373,0,1.212,0.07096,7.159,2.5,0
1.213,0.03412,0,1.213,0.07082,7.172,2.501,0
1.214,0.03495,0,1.215,0.07048,7.201,2.501,0
1.217,0.03607,0,1.217,0.06994,7.24,2.501,0
1.22,0.03729,0,1.22,0.06926,7.283,2.501,0
1.222,0.03837,0,1.223,0.06855,7.322,2.501,0
1.224,0.03915,0,1.224,0.06798,7.351,2.502,0
1.225,0.0395,0,1.225,0.0677,7.364,2.502,0
1.2,0.03329,0,1.2,0.07075,7.159,2.507,0
1.2,0.03367,0,1.201,0.0706,7.172,2.507,0
1.202,0.03449,0,1.203,0.07026,7.201,2.507,0
1.205,0.0356,0,1.205,0.06972,7.24,2.507,0
1.207,0.03679,0,1.208,0.06905,7.283,2.507,0
1.21,0.03785,0,1.211,0.06834,7.322,2.508,0
1.212,0.03862,0,1.212,0.06777,7.351,2.508,0
1.213,0.03896,0,1.213,0.0675,7.364,2.508,0
1.173,0.03232,0,1.173,0.07029,7.159,2.521,0
1.173,0.03269,0,1.174,0.07015,7.172,2.521,0
1.175,0.03347,0,1.176,0.06981,7.201,2.521,0
1.178,0.03454,0,1.178,0.06928,7.24,2.521,0
1.181,0.03568,0,1.181,0.06861,7.283,2.521,0
1.183,0.03671,0,1.184,0.06792,7.322,2.522,0
1.185,0.03744,0,1.186,0.06736,7.351,2.522,0
1.186,0.03777,0,1.186,0.06708,7.364,2.522,0
1.135,0.03097,0,1.136,0.06972,7.159,2.54,0
1.136,0.03131,0,1.136,0.06958,7.172,2.54,0
1.138,0.03205,0,1.138,0.06924,7.201,2.54,0
1.141,0.03306,0,1.141,0.06872,7.24,2.54,0
1.143,0.03414,0,1.144,0.06806,7.283,2.541,0
1.146,0.03511,0,1.147,0.06738,7.322,2.541,0
1.148,0.0358,0,1.149,0.06683,7.351,2.541,0
1.149,0.03611,0,1.149,0.06656,7.364,2.541,0
1.093,0.02944,0,1.094,0.06915,7.159,2.561,0
1.094,0.02976,0,1.094,0.06901,7.172,2.561,0
1.096,0.03046,0,1.096,0.06868,7.201,2.561,0
1.099,0.0314,0,1.099,0.06817,7.24,2.561,0
1.102,0.03241,0,1.102,0.06752,7.283,2.561,0
1.104,0.03332,0,1.105,0.06685,7.322,2.562,0
1.106,0.03396,0,1.107,0.0663,7.351,2.562,0
1.107,0.03425,0,1.108,0.06604,7.364,2.562,0
1.054,0.02801,0,1.054,0.06868,7.159,2.58,0
1.055,0.02831,0,1.055,0.06854,7.172,2.58,0
1.057,0.02897,0,1.057,0.06822,7.201,2.58,0
1.06,0.02985,0,1.06,0.06771,7.24,2.58,0
1.063,0.0308,0,1.063,0.06707,7.283,2.581,0
1.066,0.03165,0,1.066,0.06641,7.322,2.581,0
1.068,0.03225,0,1.068,0.06587,7.351,2.581,0
1.069,0.03253,0,1.069,0.06562,7.364,2.581,0
1.025,0.02694,0,1.025,0.06836,7.159,2.594,0
1.026,0.02723,0,1.026,0.06823,7.172,2.594,0
1.028,0.02786,0,1.028,0.06791,7.201,2.594,0
1.031,0.0287,0,1.031,0.06741,7.24,2.594,0
1.034,0.0296,0,1.034,0.06677,7.283,2.594,0
1.037,0.03041,0,1.037,0.06612,7.322,2.595,0
1.039,0.03098,0,1.039,0.06559,7.351,2.595,0
1.04,0.03124,0,1.04,0.06533,7.364,2.595,0
1.011,0.02645,0,1.012,0.06823,7.159,2.6,0
1.012,0.02673,0,1.013,0.0681,7.172,2.6,0
1.014,0.02734,0,1.015,0.06777,7.201,2.6,0
1.017,0.02816,0,1.018,0.06727,7.24,2.601,0
1.02,0.02904,0,1.021,0.06665,7.283,2.601,0
1.023,0.02983,0,1.024,0.06599,7.322,2.601,0
1.025,0.03039,0,1.026,0.06547,7.351,2.601,0
1.026,0.03065,0,1.027,0.06521,7.364,2.602,0
1.225,0.0395,0,1.225,0.0677,7.364,2.502,0
1.225,0.03985,0,1.226,0.06741,7.377,2.502,0
1.227,0.04059,0,1.228,0.06675,7.405,2.503,0
1.229,0.04157,0,1.23,0.06576,7.445,2.503,0
1.231,0.04258,0,1.232,0.06458,7.487,2.504,0
1.232,0.04343,0,1.233,0.0634,7.526,2.506,0
1.232,0.044,0,1.233,0.06248,7.555,2.507,0
1.233,0.04424,0,1.233,0.06204,7.568,2.508,0
1.213,0.03896,0,1.213,0.0675,7.364,2.508,0
1.213,0.0393,0,1.214,0.06721,7.377,2.508,0
1.215,0.04003,0,1.216,0.06655,7.405,2.509,0
1.217,0.04099,0,1.218,0.06558,7.445,2.51,0
1.219,0.04198,0,1.22,0.0644,7.487,2.511,0
1.22,0.04281,0,1.221,0.06323,7.526,2.512,0
1.221,0.04337,0,1.221,0.06231,7.555,2.513,0
1.221,0.04361,0,1.221,0.06188,7.568,2.514,0
1.186,0.03777,0,1.186,0.06708,7.364,2.522,0
1.187,0.0381,0,1.187,0.0668,7.377,2.522,0
1.188,0.03879,0,1.189,0.06615,7.405,2.523,0
1.19,0.03971,0,1.191,0.06519,7.445,2.524,0
1.192,0.04066,0,1.193,0.06403,7.487,2.525,0
1.194,0.04145,0,1.194,0.06288,7.526,2.526,0
1.194,0.04199,0,1.195,0.06198,7.555,2.527,0
1.194,0.04221,0,1.195,0.06155,7.568,2.528,0
1.149,0.03611,0,1.149,0.06656,7.364,2.541,0
1.15,0.03642,0,1.15,0.06628,7.377,2.541,0
1.151,0.03708,0,1.152,0.06564,7.405,2.542,0
1.154,0.03794,0,1.154,0.0647,7.445,2.543,0
1.156,0.03882,0,1.156,0.06356,7.487,2.544,0
1.157,0.03957,0,1.158,0.06244,7.526,2.545,0
1.158,0.04007,0,1.158,0.06155,7.555,2.546,0
1.158,0.04028,0,1.159,0.06113,7.568,2.547,0
1.107,0.03425,0,1.108,0.06604,7.364,2.562,0
1.108,0.03454,0,1.109,0.06577,7.377,2.562,0
1.11,0.03516,0,1.111,0.06514,7.405,2.563,0
1.112,0.03596,0,1.113,0.06422,7.445,2.563,0
1.114,0.03678,0,1.115,0.0631,7.487,2.564,0
1.116,0.03747,0,1.117,0.062,7.526,2.566,0
1.117,0.03793,0,1.117,0.06113,7.555,2.567,0
1.117,0.03813,0,1.118,0.06072,7.568,2.567,0
1.069,0.03253,0,1.069,0.06562,7.364,2.581,0
1.069,0.03279,0,1.07,0.06535,7.377,2.581,0
1.071,0.03337,0,1.072,0.06473,7.405,2.582,0
1.074,0.03412,0,1.074,0.06382,7.445,2.582,0
1.076,0.03489,0,1.077,0.06273,7.487,2.583,0
1.078,0.03553,0,1.078,0.06164,7.526,2.584,0
1.079,0.03595,0,1.079,0.06079,7.555,2.586,0
1.079,0.03614,0,1.079,0.06039,7.568,2.586,0
1.04,0.03124,0,1.04,0.06533,7.364,2.595,0
1.041,0.0315,0,1.041,0.06507,7.377,2.595,0
1.043,0.03204,0,1.043,0.06446,7.405,2.596,0
1.045,0.03275,0,1.046,0.06356,7.445,2.596,0
1.047,0.03348,0,1.048,0.06248,7.487,2.597,0
1.049,0.03409,0,1.05,0.06141,7.526,2.598,0
1.05,0.03449,0,1.051,0.06057,7.555,2.599,0
1.05,0.03466,0,1.051,0.06017,7.568,2.6,0
1.026,0.03065,0,1.027,0.06521,7.364,2.602,0
1.027,0.0309,0,1.028,0.06495,7.377,2.602,0
1.029,0.03143,0,1.03,0.06434,7.405,2.602,0
1.032,0.03212,0,1.032,0.06345,7.445,2.603,0
1.034,0.03283,0,1.035,0.06237,7.487,2.604,0
1.036,0.03342,0,1.036,0.06131,7.526,2.605,0
1.037,0.03381,0,1.037,0.06047,7.555,2.606,0
1.037,0.03398,0,1.038,0.06008,7.568,2.606,0
1.233,0.04424,0,1.233,0.06204,7.568,2.508,0
1.233,0.04448,0,1.233,0.06158,7.581,2.508,0
1.232,0.04495,0,1.233,0.06056,7.61,2.51,0
1.231,0.04549,0,1.232,0.05907,7.649,2.513,0
1.228,0.04591,0,1.228,0.05734,7.692,2.517,0
1.223,0.04611,0,1.224,0.05565,7.731,2.522,0
1.218,0.04614,0,1.219,0.05437,7.76,2.526,0
1.216,0.04611,0,1.217,0.05376,7.773,2.528,0
1.221,0.04361,0,1.221,0.06188,7.568,2.514,0
1.221,0.04384,0,1.221,0.06143,7.581,2.515,0
1.22,0.0443,0,1.221,0.06041,7.61,2.516,0
1.219,0.04482,0,1.22,0.05894,7.649,2.519,0
1.216,0.04523,0,1.217,0.05722,7.692,2.523,0
1.211,0.04542,0,1.212,0.05555,7.731,2.528,0
1.207,0.04544,0,1.208,0.05427,7.76,2.532,0
1.204,0.04542,0,1.205,0.05367,7.773,2.534,0
1.194,0.04221,0,1.195,0.06155,7.568,2.528,0
1.194,0.04243,0,1.195,0.0611,7.581,2.529,0
1.194,0.04287,0,1.195,0.0601,7.61,2.53,0
1.193,0.04336,0,1.194,0.05866,7.649,2.533,0
1.19,0.04374,0,1.191,0.05697,7.692,2.537,0
1.186,0.04391,0,1.186,0.05533,7.731,2.542,0
1.181,0.04392,0,1.182,0.05407,7.76,2.545,0
1.179,0.04388,0,1.18,0.05348,7.773,2.547,0
1.158,0.04028,0,1.159,0.06113,7.568,2.547,0
1.158,0.04048,0,1.159,0.0607,7.581,2.547,0
1.158,0.04089,0,1.159,0.05972,7.61,2.549,0
1.157,0.04134,0,1.157,0.0583,7.649,2.552,0
1.154,0.04168,0,1.155,0.05665,7.692,2.555,0
1.15,0.04182,0,1.151,0.05505,7.731,2.56,0
1.146,0.04181,0,1.146,0.05383,7.76,2.564,0
1.143,0.04177,0,1.144,0.05325,7.773,2.566,0
1.117,0.03813,0,1.118,0.06072,7.568,2.567,0
1.117,0.03832,0,1.118,0.0603,7.581,2.568,0
1.117,0.03868,0,1.118,0.05934,7.61,2.569,0
1.116,0.03909,0,1.117,0.05796,7.649,2.572,0
1.114,0.03939,0,1.114,0.05635,7.692,2.576,0
1.11,0.0395,0,1.11,0.05479,7.731,2.58,0
1.106,0.03948,0,1.107,0.05359,7.76,2.583,0
1.104,0.03943,0,1.104,0.05303,7.773,2.585,0
1.079,0.03614,0,1.079,0.06039,7.568,2.586,0
1.079,0.03631,0,1.08,0.05998,7.581,2.587,0
1.079,0.03665,0,1.08,0.05904,7.61,2.588,0
1.078,0.03702,0,1.079,0.05768,7.649,2.591,0
1.076,0.03728,0,1.077,0.0561,7.692,2.594,0
1.072,0.03737,0,1.073,0.05457,7.731,2.598,0
1.069,0.03733,0,1.069,0.0534,7.76,2.602,0
1.067,0.03727,0,1.067,0.05285,7.773,2.603,0
1.05,0.03466,0,1.051,0.06017,7.568,2.6,0
1.051,0.03482,0,1.051,0.05976,7.581,2.6,0
1.051,0.03514,0,1.051,0.05884,7.61,2.602,0
1.05,0.03548,0,1.051,0.0575,7.649,2.604,0
1.048,0.03572,0,1.049,0.05594,7.692,2.608,0
1.045,0.03579,0,1.045,0.05444,7.731,2.611,0
1.041,0.03574,0,1.042,0.05328,7.76,2.615,0
1.039,0.03568,0,1.04,0.05274,7.773,2.617,0
1.037,0.03398,0,1.038,0.06008,7.568,2.606,0
1.037,0.03413,0,1.038,0.05967,7.581,2.607,0
1.038,0.03444,0,1.038,0.05875,7.61,2.608,0
1.037,0.03477,0,1.038,0.05742,7.649,2.611,0
1.035,0.035,0,1.036,0.05588,7.692,2.614,0
1.032,0.03506,0,1.032,0.05438,7.731,2.618,0
1.028,0.03501,0,1.029,0.05323,7.76,2.621,0
1.026,0.03495,0,1.027,0.05269,7.773,2.623,0
1.216,0.04611,0,1.217,0.05376,7.773,2.528,0
1.213,0.04606,0,1.214,0.05315,7.786,2.53,0
1.206,0.04587,0,1.207,0.05178,7.814,2.536,0
1.195,0.04539,0,1.196,0.04985,7.854,2.544,0
1.18,0.0446,0,1.181,0.04767,7.896,2.554,0
1.165,0.04365,0,1.165,0.04563,7.936,2.565,0
1.152,0.04283,0,1.153,0.04412,7.964,2.573,0
1.146,0.04243,0,1.147,0.04342,7.977,2.577,0
1.204,0.04542,0,1.205,0.05367,7.773,2.534,0
1.202,0.04536,0,1.203,0.05306,7.786,2.536,0
1.195,0.04516,0,1.196,0.0517,7.814,2.542,0
1.184,0.04469,0,1.185,0.04979,7.854,2.55,0
1.169,0.0439,0,1.17,0.04763,7.896,2.56,0
1.153,0.04295,0,1.154,0.04561,7.936,2.57,0
1.141,0.04214,0,1.142,0.04411,7.964,2.578,0
1.135,0.04174,0,1.136,0.04341,7.977,2.582,0
1.179,0.04388,0,1.18,0.05348,7.773,2.547,0
1.176,0.04383,0,1.177,0.05288,7.786,2.55,0
1.17,0.04362,0,1.17,0.05155,7.814,2.555,0
1.159,0.04314,0,1.16,0.04967,7.854,2.563,0
1.144,0.04235,0,1.145,0.04755,7.896,2.573,0
1.129,0.04141,0,1.13,0.04556,7.936,2.583,0
1.117,0.04062,0,1.118,0.04408,7.964,2.59,0
1.111,0.04022,0,1.112,0.04339,7.977,2.594,0
1.143,0.04177,0,1.144,0.05325,7.773,2.566,0
1.141,0.04171,0,1.142,0.05267,7.786,2.568,0
1.135,0.04149,0,1.135,0.05136,7.814,2.572,0
1.124,0.04101,0,1.125,0.04953,7.854,2.58,0
1.11,0.04023,0,1.111,0.04745,7.896,2.59,0
1.095,0.03931,0,1.096,0.0455,7.936,2.599,0
1.083,0.03852,0,1.084,0.04405,7.964,2.607,0
1.078,0.03814,0,1.079,0.04337,7.977,2.61,0
1.104,0.03943,0,1.104,0.05303,7.773,2.585,0
1.101,0.03936,0,1.102,0.05246,7.786,2.587,0
1.095,0.03914,0,1.096,0.05119,7.814,2.592,0
1.085,0.03865,0,1.086,0.04939,7.854,2.599,0
1.072,0.03788,0,1.072,0.04736,7.896,2.608,0
1.057,0.03698,0,1.058,0.04545,7.936,2.617,0
1.046,0.03622,0,1.047,0.04402,7.964,2.625,0
1.041,0.03585,0,1.041,0.04336,7.977,2.628,0
1.067,0.03727,0,1.067,0.05285,7.773,2.603,0
1.064,0.0372,0,1.065,0.0523,7.786,2.605,0
1.059,0.03697,0,1.059,0.05105,7.814,2.61,0
1.049,0.03649,0,1.049,0.04929,7.854,2.617,0
1.036,0.03573,0,1.036,0.04729,7.896,2.625,0
1.022,0.03485,0,1.023,0.04542,7.936,2.634,0
1.011,0.03411,0,1.012,0.04401,7.964,2.641,0
1.006,0.03375,0,1.007,0.04336,7.977,2.644,0
1.039,0.03568,0,1.04,0.05274,7.773,2.617,0
1.037,0.03561,0,1.037,0.05219,7.786,2.618,0
1.031,0.03538,0,1.032,0.05096,7.814,2.623,0
1.022,0.03489,0,1.022,0.04923,7.854,2.629,0
1.009,0.03415,0,1.01,0.04726,7.896,2.638,0
0.9959,0.03329,0,0.9964,0.0454,7.936,2.646,0
0.9853,0.03256,0,0.9858,0.04401,7.964,2.653,0
0.9803,0.03221,0,0.9808,0.04337,7.977,2.656,0
1.026,0.03495,0,1.027,0.05269,7.773,2.623,0
1.024,0.03488,0,1.025,0.05215,7.786,2.624,0
1.019,0.03464,0,1.019,0.05092,7.814,2.629,0
1.009,0.03416,0,1.01,0.0492,7.854,2.635,0
0.9969,0.03342,0,0.9975,0.04724,7.896,2.644,0
0.9838,0.03257,0,0.9843,0.04539,7.936,2.652,0
0.9733,0.03185,0,0.9738,0.04401,7.964,2.658,0
0.9684,0.03151,0,0.9689,0.04337,7.977,2.661,0
1.146,0.04243,0,1.147,0.04342,7.977,2.577,0
1.14,0.04202,0,1.141,0.04272,7.99,2.581,0
1.127,0.04107,0,1.128,0.04118,8.019,2.589,0
1.109,0.03972,0,1.11,0.03905,8.058,2.6,0
1.091,0.03823,0,1.092,0.03669,8.101,2.612,0
1.076,0.03692,0,1.077,0.0345,8.14,2.621,0
1.067,0.036,0,1.067,0.03288,8.169,2.628,0
1.063,0.0356,0,1.063,0.03212,8.182,2.63,0
1.135,0.04174,0,1.136,0.04341,7.977,2.582,0
1.129,0.04133,0,1.13,0.04271,7.99,2.586,0
1.116,0.04038,0,1.117,0.04118,8.019,2.594,0
1.099,0.03905,0,1.099,0.03907,8.058,2.605,0
1.081,0.03757,0,1.081,0.03672,8.101,2.617,0
1.066,0.03627,0,1.067,0.03454,8.14,2.626,0
1.057,0.03537,0,1.057,0.03291,8.169,2.632,0
1.053,0.03497,0,1.053,0.03216,8.182,2.635,0
1.111,0.04022,0,1.112,0.04339,7.977,2.594,0
1.105,0.03982,0,1.106,0.0427,7.99,2.598,0
1.093,0.03889,0,1.093,0.04119,8.019,2.606,0
1.075,0.03758,0,1.076,0.0391,8.058,2.616,0
1.058,0.03614,0,1.058,0.03677,8.101,2.627,0
1.043,0.03487,0,1.044,0.0346,8.14,2.637,0
1.034,0.03398,0,1.035,0.03299,8.169,2.643,0
1.03,0.03359,0,1.031,0.03225,8.182,2.645,0
1.078,0.03814,0,1.079,0.04337,7.977,2.61,0
1.072,0.03774,0,1.073,0.0427,7.99,2.614,0
1.06,0.03684,0,1.061,0.04121,8.019,2.621,0
1.043,0.03557,0,1.044,0.03914,8.058,2.632,0
1.026,0.03417,0,1.027,0.03684,8.101,2.642,0
1.012,0.03294,0,1.013,0.0347,8.14,2.651,0
1.003,0.03209,0,1.004,0.0331,8.169,2.657,0
0.9996,0.03171,0,1,0.03236,8.182,2.659,0
1.041,0.03585,0,1.041,0.04336,7.977,2.628,0
1.035,0.03547,0,1.036,0.0427,7.99,2.631,0
1.023,0.03459,0,1.024,0.04123,8.019,2.639,0
1.007,0.03336,0,1.008,0.03919,8.058,2.648,0
0.9908,0.03202,0,0.9913,0.03692,8.101,2.659,0
0.9774,0.03084,0,0.9778,0.0348,8.14,2.667,0
0.9688,0.03002,0,0.9693,0.03321,8.169,2.673,0
0.9653,0.02966,0,0.9657,0.03248,8.182,2.675,0
1.006,0.03375,0,1.007,0.04336,7.977,2.644,0
1.001,0.03338,0,1.001,0.04271,7.99,2.647,0
0.9893,0.03254,0,0.9898,0.04126,8.019,2.654,0
0.9738,0.03135,0,0.9743,0.03924,8.058,2.664,0
0.9579,0.03006,0,0.9584,0.03699,8.101,2.673,0
0.945,0.02892,0,0.9454,0.03489,8.14,2.681,0
0.9367,0.02814,0,0.9372,0.03332,8.169,2.687,0
0.9333,0.02779,0,0.9338,0.03259,8.182,2.689,0
0.9803,0.03221,0,0.9808,0.04337,7.977,2.656,0
0.9752,0.03185,0,0.9757,0.04272,7.99,2.659,0
0.964,0.03103,0,0.9645,0.04128,8.019,2.666,0
0.9489,0.02988,0,0.9494,0.03928,8.058,2.675,0
0.9335,0.02862,0,0.9339,0.03705,8.101,2.684,0
0.9209,0.02752,0,0.9213,0.03495,8.14,2.692,0
0.9129,0.02677,0,0.9133,0.03339,8.169,2.697,0
0.9096,0.02643,0,0.91,0.03266,8.182,2.699,0
0.9684,0.03151,0,0.9689,0.04337,7.977,2.661,0
0.9634,0.03115,0,0.9639,0.04272,7.99,2.664,0
0.9523,0.03034,0,0.9528,0.04129,8.019,2.671,0
0.9374,0.0292,0,0.9379,0.0393,8.058,2.68,0
0.9222,0.02797,0,0.9226,0.03707,8.101,2.689,0
0.9098,0.02689,0,0.9102,0.03498,8.14,2.697,0
0.9019,0.02614,0,0.9023,0.03342,8.169,2.702,0
0.8986,0.02581,0,0.899,0.0327,8.182,2.704,0
1.063,0.0356,0,1.063,0.03212,8.182,2.63,0
1.059,0.03521,0,1.06,0.03137,8.195,2.633,0
1.052,0.03439,0,1.053,0.0297,8.224,2.638,0
1.044,0.03335,0,1.045,0.02738,8.263,2.644,0
1.039,0.03232,0,1.039,0.02479,8.305,2.649,0
1.035,0.03144,0,1.036,0.02238,8.345,2.653,0
1.034,0.03084,0,1.034,0.02059,8.373,2.655,0
1.034,0.03057,0,1.034,0.01976,8.386,2.656,0
1.053,0.03497,0,1.053,0.03216,8.182,2.635,0
1.049,0.03458,0,1.05,0.03141,8.195,2.637,0
1.042,0.03377,0,1.043,0.02974,8.224,2.642,0
1.034,0.03275,0,1.035,0.02743,8.263,2.648,0
